Date,Unemployment
Sep-09,"45,900"
Oct-09,"45,400"
Nov-09,"47,100"
Dec-09,"45,600"
Jan-10,"49,600"
Feb-10,"51,400"
Mar-10,"53,500"
Apr-10,"41,200"
May-10,"42,000"
Jun-10,"46,000"
Jul-10,"50,300"
Aug-10,"51,700"
Sep-10,"47,300"
Oct-10,"50,000"
Nov-10,"51,900"
Dec-10,"53,300"
Jan-11,"62,000"
Feb-11,"64,100"
Mar-11,"59,600"
Apr-11,"51,600"
May-11,"54,100"
Jun-11,"59,200"
Jul-11,"61,900"
Aug-11,"64,600"
Sep-11,"58,100"
Oct-11,"59,900"
Nov-11,"65,300"
Dec-11,"64,700"
Jan-12,"69,100"
Feb-12,"71,600"
Mar-12,"68,300"
Apr-12,"58,100"
May-12,"63,100"
Jun-12,"67,200"
Jul-12,"66,100"
Aug-12,"65,800"
Sep-12,"63,500"
Oct-12,"66,600"
Nov-12,"68,200"
Dec-12,"66,100"
Jan-13,"72,000"
Feb-13,"77,100"
Mar-13,"72,700"
Apr-13,"68,500"
May-13,"68,000"
Jun-13,"73,800"
Jul-13,"75,400"
Aug-13,"79,500"
Sep-13,"72,800"
Oct-13,"80,400"
Nov-13,"82,300"
Dec-13,"83,100"
Jan-14,"91,500"
Feb-14,"95,200"
Mar-14,"87,200"
Apr-14,"81,700"
May-14,"80,300"
Jun-14,"93,800"
Jul-14,"94,200"
Aug-14,"92,900"
Sep-14,"89,000"
Oct-14,"95,200"
Nov-14,"100,600"
Dec-14,"100,200"
Jan-15,"105,800"
Feb-15,"110,900"
Mar-15,"108,500"
Apr-15,"97,600"
May-15,"97,800"
Jun-15,"105,800"
Jul-15,"109,900"
Aug-15,"115,600"
Sep-15,"109,500"
Oct-15,"112,600"
Nov-15,"117,300"
Dec-15,"115,300"
Jan-16,"126,100"
Feb-16,"132,500"
Mar-16,"129,700"
Apr-16,"121,000"
May-16,"120,100"
Jun-16,"129,400"
Jul-16,"130,600"
Aug-16,"130,200"
Sep-16,"128,700"
Oct-16,"133,800"
Nov-16,"139,000"
Dec-16,"140,400"
Jan-17,"144,800"
Feb-17,"148,300"
Mar-17,"145,300"
Apr-17,"134,900"
May-17,"135,600"
Jun-17,"141,400"
Jul-17,"141,800"
Aug-17,"145,600"
Sep-17,"139,900"
Oct-17,"149,500"
Nov-17,"147,100"
Dec-17,"148,900"
Jan-18,"153,500"
Feb-18,"156,400"
Mar-18,"149,700"
Apr-18,"143,200"
May-18,"147,700"
Jun-18,"155,400"
Jul-18,"151,500"
Aug-18,"154,100"
Sep-18,"143,200"
Oct-18,"146,500"
Nov-18,"148,100"
Dec-18,"145,500"
